feature,importance
z1_c2_vs_c1,1.5155716
z1_cave_depth_pct,0.5543005
z3_rsi_c2,0.44284648
z2_c2_vs_fib382,0.39989224
z4_atr_pct,0.26827335
z5_price_vs_sma50,0.2602079
z5_price_vs_sma200,0.22620396
z1_decline_magnitude,0.22149825
z3_volume_trend,0.21559517
z5_sma50_slope,0.16686673
z1_cave_symmetry,0.14209816
z6_c2_body_ratio,0.13175513
z4_spring_depth,0.12882166
z4_atr_compression,0.12640135
z3_rsi_divergence,0.12628326
z3_macd_c2,0.120991886
z3_rvol_c2,0.118366815
z1_pattern_length,0.11478743
z3_obv_slope,0.108380094
z4_atr_c2,0.10570799
z6_c2_lower_wick,0.08535718
z4_bb_width,0.07548601
z3_rsi_c1,0.06406401
z1_neckline_height,0.059899773
z3_c2_vol_vs_c1,0.058529265
z2_c2_vs_fib500,0.05811024
z6_pattern_bars,0.03081941
z4_nr7,0.027699282
z2_fib_alignment,0.024488026
mtf_c2_wd_diff,0.011654159
z4_nr4,0.011578422
z2_c2_vs_fib618,0.01089415
mtf_score,0.0087997
mtf_nl_wd_diff,0.007024587
z3_rsi_oversold,0.0046704113
z6_c2_is_bullish,0.00392961
mtf_tfs_confirmed,0.0036803284
z4_spring_present,0.0015579769
z1_higher_low,0.0
z1_decline_bars,0.0
z3_vol_declining,0.0
z5_rs_improving,0.0
z5_rs_rank_c2,0.0
z3_macd_rising,0.0
z5_rs_rank_c1,0.0
z6_pattern_too_short,0.0
z6_pattern_too_long,0.0
mtf_aligned,0.0
mtf_h4_present,0.0
mtf_weekly_present,0.0
mtf_c2_dh_diff,0.0
mtf_nl_dh_diff,0.0
